Mar 13 2018      5:33:01 pm     Elt: 003247 Seconds.  Real Time: 003168
ID: No spectrum identifier defined
Memory Size: 2048 Chls  Conversion Gain: 2048  Adc Offset: 0000 Chls

 Chn    Counts  ROI
 832        7  000
 833        7  000
 834        5  000
 835       10  000
 836        7  000
 837        5  000
 838        2  000
 839        2  000
 840       13  000
 841        7  000
 842       11  000
 843       10  000
 844        1  000
 845       10  000
 846       10  000
 847        8  000
 848       17  000
 849        8  000
 850        5  000
 851       20  000
 852        5  000
 853       14  000
 854       14  000
 855        9  000
 856       10  000
 857        8  000
 858       10  000
 859       17  000
 860       19  000
 861       36  000
 862       46  000
 863       40  000
 864       50  000
 865       53  000
 866       50  000
 867       50  000
 868       32  000
 869       23  000
 870       23  000
 871       17  000
 872       11  000
 873       19  000
 874        9  000
 875       23  000
 876       14  000
 877       16  000
 878       22  000
 879       14  000
 880       10  000
 881        4  000
 882        2  000
 883        3  000
 884        0  000
 885        0  000
 886        2  000
 887        0  000
 888        2  000
 889        1  000
 890        0  000
 891        0  000
 892        0  000
 893        2  000
 894        0  000
 895        2  000
 896        0  000
 897        1  000
 898        0  000
 899        1  000
 900        2  000
 901        0  000
 902        0  000
 903        1  000
 904        0  000
 905        0  000
 906        0  000
 907        1  000
 908        1  000
 909        0  000
 910        0  000
 911        0  000
 912        0  000
 913        0  000
 914        1  000
 915        0  000
 916        0  000
 917        0  000
 918        0  000
 919        0  000
 920        0  000
 921        1  000
 922        0  000
 923        0  000
 924        1  000
 925        1  000
 926        0  000
 927        0  000
 928        0  000
 929        0  000
 930        0  000
 931        0  000
 932        1  000
 933        0  000
 934        0  000
 935        1  000
 936        0  000
 937        1  000
 938        0  000
 939        0  000
 940        0  000
 941        0  000
 942        0  000
 943        0  000
 944        0  000
 945        0  000
 946        0  000
 947        0  000
 948        0  000
 949        1  000
 950        0  000
 951        0  000
 952        0  000
 953        1  000
 954        0  000
 955        0  000
 956        0  000
 957        0  000
 958        0  000
 959        0  000
 960        0  000
 961        0  000
 962        1  000
 963        0  000
 964        0  000
 965        0  000
 966        0  000
 967        0  000
 968        0  000
 969        0  000
 970        0  000
 971        0  000
 972        0  000
 973        0  000
 974        0  000
 975        1  000
 976        0  000
 977        0  000
 978        0  000
 979        0  000
 980        1  000
 981        0  000
 982        0  000
 983        0  000
 984        1  000
 985        0  000
 986        0  000
 987        0  000
 988        0  000
 989        0  000
 990        0  000
 991        0  000
 992        0  000
 993        0  000
 994        0  000
 995        1  000
 996        0  000
 997        0  000
 998        0  000
 999        0  000
1000        0  000
1001        0  000
1002        0  000
1003        0  000
1004        0  000
1005        0  000
